verweildauer_min,anzahl_produktseiten,einkaufswert_pot,vertrauen_score,impulsivitaet_score,technikaffinitaet,war_angemeldet,geschlecht,bildungsniveau,hat_kauf_getaetigt
12.483570765056164,6,94.04594649654936,5.0,5.889137979011904,1,1,divers,hoch,False
9.308678494144077,10,0.0,1.0,4.662168504281606,6,0,männlich,mittel,False
13.238442690503462,9,44.89278673242053,4.0,1.633396801941211,8,1,weiblich,mittel,False
17.61514928204013,3,154.83985293273489,2.0,3.133797346147687,7,1,weiblich,hoch,True
8.82923312638332,7,81.81761950669949,,1.9690042662523264,8,1,weiblich,mittel,False
8.829315215254097,4,52.02190393260853,4.0,8.383810542398718,3,0,weiblich,mittel,True
17.896064077536955,10,83.41880649442584,2.0,6.771394123477313,5,0,männlich,mittel,False
13.837173645764544,11,51.94565359441327,7.0,2.8881140716088263,1,0,weiblich,mittel,False
7.652628070325239,6,143.50086338755725,2.0,8.77013916589516,8,1,weiblich,mittel,False
12.712800217929823,7,35.358919472998814,2.0,4.055714822063887,2,1,männlich,mittel,True
7.682911535937689,12,54.088313190293334,4.0,6.1985595189588985,10,0,männlich,mittel,False
7.671351232148716,2,15.31113082474883,5.0,6.2032386642905,3,1,männlich,hoch,False
11.209811357830171,6,63.18219301120459,10.0,5.312185296389369,10,0,weiblich,hoch,False
1.0,8,68.0173685016263,3.0,4.893816200615502,2,1,männlich,hoch,False
1.3754108374348366,8,122.82562655580395,9.0,5.567989211954675,1,1,weiblich,hoch,False
7.188562353795136,0,34.33075320497272,10.0,4.940041525012666,2,0,männlich,hoch,False
4.935844398327881,6,94.34514031874326,6.0,5.998198970389812,10,1,weiblich,mittel,False
11.57123666297637,7,78.46908517271622,8.0,6.077571478961564,2,1,männlich,hoch,False
5.459879622393945,6,0.0,5.0,4.451549447476793,6,1,männlich,mittel,False
2.9384814933235424,7,45.98797201924381,8.0,7.7024903600986185,4,0,männlich,hoch,False
17.32824384460777,8,44.39752407719438,10.0,3.825926324613599,10,1,weiblich,mittel,False
8.871118497567322,3,142.32157641637963,6.0,6.2804022600500105,4,0,weiblich,hoch,True
10.33764102343962,7,96.82907502604371,7.0,4.821244518673027,1,0,männlich,hoch,False
2.8762590689327165,7,80.78681494165937,2.0,3.7620137388722874,10,0,weiblich,hoch,False
7.278086377374087,3,0.0,6.0,4.9451635896700346,2,0,männlich,hoch,False
10.55461294854933,4,0.0,5.0,4.178343819309708,3,1,männlich,mittel,False
4.245032112888486,4,104.1115212775536,8.0,6.817461865053826,9,0,weiblich,hoch,False
11.87849009172836,4,106.28171170425354,5.0,5.310895811044487,5,1,männlich,niedrig,False
6.996806550405975,3,45.31007183482317,7.0,8.238437813530956,4,0,männlich,mittel,False
8.541531251033616,12,76.10712843143092,4.0,3.597177690848155,10,0,weiblich,mittel,False
6.991466938853016,4,73.2705393784878,2.0,1.1062601918365855,3,0,weiblich,mittel,False
19.261390922544688,9,81.77783686725259,3.0,6.289517631524925,10,0,männlich,hoch,False
9.932513876310331,6,60.119818682963256,10.0,8.945279039663077,1,0,männlich,mittel,False
4.711445355220498,8,107.6147365782281,4.0,6.477591475325347,1,1,divers,mittel,False
14.112724560515945,3,119.24438834743064,3.0,3.6151818059133847,10,0,weiblich,mittel,False
3.895781750144889,6,36.615344800319285,7.0,3.4541595075253575,8,0,männlich,mittel,False
11.044317975023777,9,27.225094730582725,5.0,9.551666448445921,10,0,männlich,mittel,False
1.0,6,43.15543074759074,3.0,4.74123910899473,9,0,weiblich,niedrig,False
3.3590697555078473,7,76.9487207556296,3.0,3.4701884364742512,3,1,männlich,mittel,False
10.984306179345618,9,89.225249623227,9.0,7.880839440719563,9,0,weiblich,hoch,False
13.692332899977053,8,106.53800020026566,9.0,5.205533703554166,8,1,weiblich,hoch,False
10.856841405949853,1,113.85687544509571,5.0,1.4452933144480875,1,0,weiblich,mittel,False
9.421758588058797,6,89.49794435351433,2.0,9.665794276273479,6,0,männlich,niedrig,False
8.494481522053556,9,84.18367304602565,10.0,6.668812980644055,9,1,männlich,niedrig,False
2.6073900481628627,6,140.95582028764085,5.0,2.4766547152332494,4,1,weiblich,hoch,False
6.400778958026457,7,75.2000015408387,4.0,8.291583810527882,9,1,männlich,hoch,True
7.696806145201062,5,98.60187319406289,6.0,3.4043336796674986,2,0,männlich,mittel,False
15.285611131094578,7,87.8101858646593,10.0,3.283943396150193,10,0,divers,mittel,False
11.718091447842307,4,68.07254360995444,6.0,3.7165079541700052,9,1,männlich,hoch,False
1.1847992231863298,7,68.33648936272382,6.0,9.379014858314637,1,0,weiblich,niedrig,False
11.620419846973975,8,127.87827068138793,7.0,9.5908329080441,4,0,weiblich,mittel,False
8.074588597918417,10,71.39078774742079,2.0,4.404116778213629,5,0,weiblich,hoch,True
6.6153899984702065,7,60.89323370644923,4.0,8.911238075568932,2,1,weiblich,hoch,False
13.05838144420434,7,45.51777072313842,9.0,1.0,6,1,männlich,mittel,False
15.154997612479754,12,91.90141699420136,5.0,7.328113507004032,8,0,weiblich,hoch,False
14.656400595580994,8,54.51447873457968,1.0,8.22834454079725,2,1,weiblich,mittel,False
5.803912383886807,5,88.2717795539796,6.0,8.512882589383356,9,0,männlich,mittel,False
8.453938120743928,6,82.10894960054446,5.0,5.6537948489637335,2,1,weiblich,niedrig,False
11.65631715701782,4,57.904479252492905,2.0,6.6321555616225725,1,0,weiblich,niedrig,False
14.877725635611796,8,19.17663089731213,3.0,4.065771311507061,6,1,weiblich,hoch,False
7.604128810773551,5,33.83102757295087,3.0,5.55029567315332,5,0,divers,mittel,False
9.071705116680914,9,40.125139128560214,7.0,5.171568347445982,10,0,weiblich,hoch,False
4.468325129969859,6,34.83880154146139,5.0,5.056562457520511,3,1,männlich,hoch,False
4.018966879596646,8,93.21071295676765,9.0,7.769313218250012,3,0,männlich,niedrig,False
14.06262911197099,9,160.16701386695462,1.0,5.929898870996973,8,0,weiblich,mittel,False
16.781200142854114,5,54.560396992683025,3.0,8.88634458758539,4,0,männlich,hoch,False
9.63994939209833,10,59.6290128209626,10.0,5.995951811554296,1,1,weiblich,mittel,False
15.01766448946012,6,51.616698100544774,8.0,9.882625165538354,4,1,weiblich,niedrig,False
11.80818012523817,9,109.30707042518475,3.0,7.954420052913533,6,1,weiblich,mittel,False
6.774401226974378,9,92.05427441573524,3.0,5.326398806735062,2,1,männlich,mittel,False
11.806978027542069,8,74.33490311378009,8.0,5.849194635534887,7,0,weiblich,mittel,False
17.690182832329846,7,26.475541297988777,10.0,3.8200267510694306,1,0,männlich,hoch,False
9.820869804450242,6,36.289506390092725,3.0,5.820413554872847,10,1,männlich,niedrig,False
17.82321827907003,8,82.01174302232508,2.0,3.5349618754746537,9,0,weiblich,mittel,False
1.0,1,83.9314916169574,3.0,8.16073927388032,2,1,weiblich,hoch,False
14.10951252187612,4,74.35562832137077,2.0,4.812783597769895,9,0,männlich,hoch,False
10.435235341190856,8,101.59708509041215,8.0,6.211296426735252,1,0,divers,niedrig,False
8.504963247670663,5,26.096905214319683,5.0,1.0,4,0,männlich,mittel,False
10.458803882677511,6,87.14359508639846,3.0,4.965740698473357,5,0,weiblich,niedrig,False
1.0,4,84.91945288386864,8.0,4.756677237788692,8,1,weiblich,mittel,False
8.90164056081244,8,36.68243125319685,8.0,7.341846802653881,5,0,weiblich,mittel,False
11.785562857558732,5,50.80401113590189,4.0,6.544977706545618,1,0,männlich,mittel,False
17.38947022370758,7,102.72517902757895,9.0,7.536615583983627,1,0,männlich,mittel,False
7.408648908631763,6,29.456334073996935,1.0,6.385297713114505,2,0,männlich,niedrig,False
5.957531985534062,9,173.5508427968253,7.0,7.961112729735689,9,0,männlich,hoch,False
7.491214782077318,8,97.23046403567012,5.0,6.338259368913782,1,0,männlich,mittel,False
14.57701058851037,3,72.70652757407777,7.0,2.747541031691781,3,0,weiblich,niedrig,False
11.643755548298422,6,64.91390662513693,10.0,5.319373642670507,8,0,weiblich,mittel,False
7.351198981164806,6,106.52805994567802,8.0,5.422387130599808,1,0,männlich,mittel,True
12.56633716556678,7,58.54601873614628,3.0,1.0,4,0,weiblich,niedrig,True
10.485387746740201,5,60.1873496795575,3.0,3.4669261672006546,8,0,weiblich,hoch,False
14.843224952664446,8,133.1035309913487,1.0,9.583471766360978,6,1,weiblich,hoch,False
6.489734530613238,3,56.1376402053826,5.0,4.950900219643863,6,0,männlich,mittel,False
8.361689267011158,5,80.4432539402158,8.0,5.289308915199696,1,1,männlich,niedrig,False
8.039459234339212,9,44.59151696211907,1.0,1.1433093694492218,7,1,weiblich,hoch,False
2.682425259339407,7,85.36161909950835,2.0,2.805531636533218,1,0,männlich,hoch,False
